applicant_id,gender,caste,religion,state,monthly_income,credit_score,loan_amount_requested,employment_type,education,existing_loans,loan_approved
IND1037,Male,General,Hindu,Rajasthan,13364,703,1000000,Self-Employed,12th Pass,1,1
IND1038,Female,General,Sikh,Maharashtra,24328,691,1000000,Self-Employed,Graduate,0,1
IND1039,Male,OBC,Hindu,Maharashtra,14404,626,100000,Self-Employed,Graduate,1,1
IND1040,Male,General,Muslim,Maharashtra,30736,604,1000000,Salaried,Graduate,0,1
IND1041,Male,OBC,Muslim,Uttar Pradesh,17861,824,750000,Salaried,12th Pass,0,1
IND1042,Male,General,Muslim,West Bengal,33914,505,750000,Self-Employed,12th Pass,0,1
IND1043,Female,OBC,Muslim,Rajasthan,97557,706,200000,Salaried,Graduate,0,0
IND1044,Male,General,Muslim,West Bengal,35081,774,1000000,Daily Wage,12th Pass,0,0
IND1045,Female,SC,Hindu,Uttar Pradesh,29375,377,50000,Self-Employed,Primary,1,0
IND1046,Male,OBC,Hindu,Uttar Pradesh,47656,732,50000,Salaried,Graduate,0,1
IND1047,Male,OBC,Hindu,Gujarat,22303,646,200000,Gig Worker,10th Pass,1,1
IND1048,Male,SC,Christian,Bihar,65538,686,200000,Salaried,Graduate,2,1
IND1049,Male,OBC,Hindu,Bihar,51361,637,200000,Self-Employed,Post-Graduate,3,0
IND1050,Female,General,Muslim,Tamil Nadu,37317,756,50000,Gig Worker,Graduate,0,0
IND1051,Female,OBC,Hindu,Uttar Pradesh,40458,695,750000,Daily Wage,Graduate,3,0
IND1052,Female,OBC,Hindu,Rajasthan,151633,676,200000,Gig Worker,Graduate,1,1
IND1053,Female,SC,Hindu,Gujarat,70236,588,100000,Self-Employed,Post-Graduate,2,0
IND1054,Female,OBC,Hindu,Gujarat,169340,824,200000,Self-Employed,10th Pass,2,1
IND1055,Female,General,Hindu,West Bengal,52702,665,500000,Daily Wage,10th Pass,2,1
IND1056,Male,General,Hindu,Bihar,12962,859,200000,Salaried,12th Pass,3,1
IND1057,Male,OBC,Hindu,Uttar Pradesh,30226,828,50000,Salaried,Post-Graduate,1,1
IND1058,Male,OBC,Hindu,Tamil Nadu,11046,513,1000000,Salaried,Post-Graduate,0,1
IND1059,Male,OBC,Hindu,Uttar Pradesh,52565,609,200000,Salaried,Post-Graduate,0,1
IND1060,Male,OBC,Hindu,West Bengal,61192,576,1000000,Self-Employed,12th Pass,1,1
IND1061,Male,ST,Muslim,Maharashtra,19532,660,500000,Self-Employed,10th Pass,3,1
IND1062,Female,OBC,Hindu,Uttar Pradesh,22949,680,100000,Self-Employed,Graduate,0,1
IND1063,Male,General,Hindu,West Bengal,40300,684,1000000,Salaried,Post-Graduate,1,1
IND1064,Male,General,Hindu,Maharashtra,15698,754,750000,Gig Worker,12th Pass,0,1
IND1065,Male,General,Hindu,Maharashtra,14895,791,200000,Salaried,Graduate,2,1
IND1066,Male,General,Hindu,Tamil Nadu,86425,747,500000,Self-Employed,Graduate,0,1
IND1067,Female,General,Hindu,Rajasthan,39351,617,500000,Self-Employed,12th Pass,3,1
IND1068,Male,General,Hindu,Bihar,24571,598,1000000,Salaried,12th Pass,1,1
IND1069,Female,General,Hindu,Uttar Pradesh,11109,665,100000,Salaried,Post-Graduate,3,0
IND1070,Female,General,Hindu,Maharashtra,65949,701,50000,Salaried,Post-Graduate,1,1
IND1071,Male,SC,Muslim,Uttar Pradesh,22490,649,200000,Daily Wage,Primary,2,1
IND1072,Male,General,Muslim,Rajasthan,133583,550,500000,Daily Wage,Graduate,1,1
IND1073,Female,OBC,Hindu,Bihar,66271,722,100000,Self-Employed,Post-Graduate,0,1
IND1074,Female,OBC,Hindu,Rajasthan,20625,631,750000,Salaried,Graduate,0,1
IND1075,Female,ST,Hindu,Bihar,22008,629,500000,Self-Employed,Post-Graduate,2,0
IND1076,Female,General,Hindu,Gujarat,121211,660,100000,Gig Worker,Graduate,1,1
IND1077,Male,OBC,Other,Bihar,34235,644,50000,Gig Worker,10th Pass,2,1
IND1078,Male,ST,Hindu,Tamil Nadu,25353,633,50000,Salaried,Graduate,0,1
IND1079,Male,SC,Hindu,Rajasthan,37027,556,500000,Salaried,Graduate,3,1
IND1080,Female,SC,Hindu,Maharashtra,25272,655,500000,Gig Worker,12th Pass,2,1
IND1081,Female,General,Hindu,Gujarat,42990,724,1000000,Salaried,12th Pass,3,1
IND1082,Male,General,Hindu,Tamil Nadu,34438,687,200000,Salaried,10th Pass,3,1
IND1083,Male,OBC,Hindu,Uttar Pradesh,67027,745,100000,Salaried,10th Pass,1,1
IND1084,Male,ST,Hindu,Rajasthan,27667,603,500000,Self-Employed,Post-Graduate,2,0
IND1085,Male,OBC,Hindu,West Bengal,19548,556,200000,Daily Wage,12th Pass,3,0
IND1086,Female,OBC,Hindu,West Bengal,28444,644,1000000,Unemployed,Graduate,3,0
IND1087,Female,General,Hindu,Maharashtra,28323,612,200000,Self-Employed,Primary,1,0
IND1088,Female,SC,Hindu,Bihar,34397,621,500000,Self-Employed,Graduate,1,1
IND1089,Male,General,Hindu,Maharashtra,56623,682,50000,Salaried,Primary,0,1
IND1090,Male,OBC,Hindu,West Bengal,54498,622,100000,Self-Employed,12th Pass,3,0
IND1091,Female,OBC,Hindu,Uttar Pradesh,84099,558,100000,Salaried,Graduate,0,1
IND1092,Female,OBC,Hindu,Gujarat,20577,617,50000,Self-Employed,12th Pass,3,0
IND1093,Female,General,Hindu,Gujarat,47672,693,500000,Salaried,Primary,0,1
IND1094,Female,General,Muslim,Rajasthan,60422,722,100000,Salaried,10th Pass,1,0
IND1095,Male,OBC,Hindu,Gujarat,22652,721,500000,Salaried,Post-Graduate,2,1
IND1096,Male,General,Hindu,Rajasthan,31402,701,1000000,Salaried,12th Pass,1,1
IND1097,Male,OBC,Hindu,Rajasthan,10668,650,500000,Salaried,Graduate,0,1
IND1098,Male,General,Hindu,Rajasthan,68514,699,200000,Salaried,Post-Graduate,0,1
IND1099,Male,OBC,Hindu,West Bengal,31230,661,50000,Unemployed,Graduate,2,1
IND1100,Male,OBC,Hindu,West Bengal,63869,674,500000,Self-Employed,Graduate,3,1
IND1101,Female,General,Christian,Bihar,41950,585,1000000,Self-Employed,10th Pass,0,1
IND1102,Male,OBC,Hindu,Tamil Nadu,31900,668,750000,Daily Wage,Graduate,0,0
IND1103,Male,General,Hindu,Rajasthan,11908,697,50000,Unemployed,10th Pass,0,1
IND1104,Female,General,Hindu,Rajasthan,13487,693,100000,Self-Employed,Post-Graduate,2,1
IND1105,Male,ST,Muslim,Tamil Nadu,5912,555,200000,Gig Worker,Graduate,1,1
IND1106,Male,OBC,Hindu,Maharashtra,24493,673,100000,Salaried,Graduate,0,1
IND1107,Female,SC,Muslim,Rajasthan,178934,542,1000000,Salaried,Graduate,2,1
IND1108,Male,General,Hindu,Bihar,14741,679,1000000,Self-Employed,Post-Graduate,0,1
IND1109,Male,OBC,Muslim,Gujarat,5755,605,100000,Self-Employed,Graduate,3,1
IND1110,Male,SC,Hindu,Gujarat,71244,809,50000,Gig Worker,12th Pass,2,0
IND1111,Male,OBC,Christian,Uttar Pradesh,189966,675,100000,Salaried,Graduate,0,1
IND1112,Female,OBC,Hindu,Uttar Pradesh,44736,733,500000,Salaried,Graduate,2,1
IND1113,Female,OBC,Muslim,Gujarat,44449,844,100000,Self-Employed,Graduate,0,0
IND1114,Female,OBC,Hindu,Gujarat,29233,595,200000,Salaried,10th Pass,1,1
IND1115,Female,ST,Hindu,West Bengal,10342,702,200000,Self-Employed,10th Pass,0,0
IND1116,Female,SC,Hindu,Bihar,13154,564,750000,Gig Worker,Graduate,2,1
IND1117,Male,ST,Hindu,Tamil Nadu,29093,694,200000,Gig Worker,Graduate,3,0
IND1118,Female,General,Hindu,Uttar Pradesh,25440,815,100000,Gig Worker,Post-Graduate,3,1
IND1119,Male,SC,Hindu,West Bengal,33502,611,200000,Daily Wage,Primary,3,1
IND1120,Female,ST,Hindu,West Bengal,64895,589,50000,Self-Employed,Post-Graduate,0,0
IND1121,Female,General,Hindu,Tamil Nadu,24166,657,200000,Gig Worker,Graduate,1,1
IND1122,Male,General,Muslim,West Bengal,65828,838,500000,Self-Employed,Graduate,0,1
IND1123,Male,SC,Hindu,Bihar,24277,730,50000,Salaried,Graduate,3,1
IND1124,Male,OBC,Sikh,Gujarat,75114,588,750000,Salaried,Post-Graduate,2,1
IND1125,Male,SC,Hindu,Rajasthan,38578,788,500000,Salaried,10th Pass,3,1
IND1126,Female,General,Hindu,Tamil Nadu,26766,524,100000,Self-Employed,Post-Graduate,2,0
IND1127,Female,SC,Muslim,Gujarat,38120,846,100000,Self-Employed,12th Pass,1,1
IND1128,Male,General,Hindu,Gujarat,29570,737,100000,Daily Wage,Post-Graduate,2,1
IND1129,Male,General,Hindu,Maharashtra,39308,814,500000,Salaried,Post-Graduate,0,1
IND1130,Male,General,Hindu,Tamil Nadu,61739,524,500000,Salaried,10th Pass,0,1
IND1131,Male,SC,Hindu,West Bengal,34164,679,500000,Unemployed,Graduate,0,1
IND1132,Male,OBC,Hindu,Rajasthan,28037,653,50000,Salaried,10th Pass,2,0
IND1133,Male,OBC,Other,Tamil Nadu,16540,579,1000000,Self-Employed,12th Pass,0,1
IND1134,Female,OBC,Sikh,West Bengal,54471,554,50000,Self-Employed,Post-Graduate,0,0
IND1135,Male,SC,Hindu,Gujarat,46341,708,100000,Self-Employed,Primary,0,1
IND1136,Male,OBC,Hindu,Rajasthan,15877,715,1000000,Salaried,Graduate,1,1
IND1137,Female,SC,Hindu,West Bengal,65175,775,200000,Salaried,10th Pass,2,0
IND1138,Male,OBC,Hindu,Bihar,15697,622,100000,Salaried,Post-Graduate,2,1
IND1139,Female,OBC,Hindu,West Bengal,74641,652,750000,Self-Employed,10th Pass,3,0
IND1140,Female,OBC,Hindu,Maharashtra,58776,547,50000,Self-Employed,Post-Graduate,2,1
IND1141,Male,OBC,Hindu,Gujarat,48716,795,500000,Salaried,12th Pass,1,1
IND1142,Male,SC,Muslim,West Bengal,27892,670,50000,Self-Employed,12th Pass,2,0
IND1143,Male,OBC,Hindu,Uttar Pradesh,54341,726,500000,Gig Worker,10th Pass,1,1
IND1144,Male,General,Hindu,Uttar Pradesh,77146,729,1000000,Salaried,10th Pass,1,1
IND1145,Male,SC,Hindu,Maharashtra,54975,789,750000,Self-Employed,10th Pass,2,1
IND1146,Female,OBC,Hindu,Bihar,22716,594,1000000,Gig Worker,10th Pass,3,1
IND1147,Male,OBC,Hindu,Gujarat,43791,724,750000,Salaried,Graduate,0,1
IND1148,Male,ST,Other,Tamil Nadu,80211,662,50000,Salaried,Graduate,0,1
IND1149,Male,OBC,Hindu,Maharashtra,169290,843,500000,Self-Employed,Graduate,2,1
IND1150,Female,General,Muslim,Bihar,31456,594,1000000,Daily Wage,Graduate,2,0
IND1151,Male,ST,Hindu,Tamil Nadu,66205,764,750000,Gig Worker,Graduate,1,1
IND1152,Male,OBC,Hindu,Uttar Pradesh,80349,694,100000,Self-Employed,12th Pass,2,1
IND1153,Male,OBC,Hindu,Uttar Pradesh,20564,690,100000,Gig Worker,Post-Graduate,1,1
IND1154,Female,General,Hindu,Tamil Nadu,126431,669,1000000,Salaried,12th Pass,3,1
IND1155,Male,SC,Muslim,Maharashtra,17229,779,500000,Self-Employed,Post-Graduate,2,1
IND1156,Female,OBC,Christian,Uttar Pradesh,63977,687,1000000,Self-Employed,Graduate,0,1
IND1157,Female,OBC,Hindu,Gujarat,44968,535,50000,Salaried,12th Pass,0,0
IND1158,Male,SC,Hindu,Rajasthan,37756,768,750000,Gig Worker,10th Pass,2,0
IND1159,Female,SC,Hindu,West Bengal,215945,753,50000,Self-Employed,12th Pass,1,1
IND1160,Male,General,Christian,Tamil Nadu,29410,714,100000,Salaried,12th Pass,0,1
IND1161,Female,OBC,Hindu,Tamil Nadu,29081,569,750000,Daily Wage,Post-Graduate,1,0
IND1162,Female,General,Hindu,Uttar Pradesh,92229,582,1000000,Salaried,12th Pass,2,1
IND1163,Male,SC,Hindu,Maharashtra,61899,505,50000,Salaried,Post-Graduate,2,0
IND1164,Male,General,Hindu,Gujarat,89095,704,200000,Salaried,Graduate,0,1
IND1165,Female,OBC,Hindu,Maharashtra,39411,550,500000,Gig Worker,Graduate,2,1
IND1166,Male,SC,Hindu,Bihar,45336,518,500000,Gig Worker,Post-Graduate,3,1
IND1167,Male,SC,Christian,Bihar,137400,773,200000,Salaried,Graduate,3,1
IND1168,Male,OBC,Hindu,Rajasthan,20228,730,100000,Self-Employed,Primary,0,0
IND1169,Female,SC,Hindu,Uttar Pradesh,33792,636,750000,Salaried,Primary,3,0
IND1170,Female,General,Sikh,Uttar Pradesh,63498,653,500000,Gig Worker,Graduate,1,0
IND1171,Male,SC,Hindu,Uttar Pradesh,31662,460,200000,Self-Employed,Post-Graduate,0,0
IND1172,Male,General,Muslim,Rajasthan,24364,742,1000000,Self-Employed,Post-Graduate,0,1
IND1173,Male,OBC,Hindu,Bihar,55990,606,200000,Daily Wage,Graduate,1,1
IND1174,Female,SC,Hindu,Maharashtra,92509,693,100000,Salaried,Primary,3,0
IND1175,Male,General,Muslim,Rajasthan,32906,453,100000,Salaried,Post-Graduate,3,0
IND1176,Female,General,Hindu,Rajasthan,32273,748,50000,Self-Employed,12th Pass,3,0
IND1177,Male,SC,Hindu,Maharashtra,23077,601,500000,Unemployed,Post-Graduate,0,0
IND1178,Female,SC,Hindu,Uttar Pradesh,29519,548,50000,Salaried,Primary,0,1
IND1179,Male,OBC,Hindu,Gujarat,77538,636,200000,Salaried,Graduate,3,1
IND1180,Male,OBC,Hindu,Maharashtra,38435,614,750000,Salaried,12th Pass,2,1
IND1181,Male,OBC,Hindu,Bihar,20671,756,750000,Self-Employed,Graduate,3,1
IND1182,Female,General,Sikh,Tamil Nadu,43636,629,100000,Salaried,12th Pass,1,0
IND1183,Female,OBC,Hindu,Tamil Nadu,75798,780,750000,Self-Employed,Graduate,0,1
IND1184,Male,General,Hindu,West Bengal,24506,693,750000,Unemployed,Post-Graduate,1,1
IND1185,Female,ST,Hindu,West Bengal,14328,741,750000,Self-Employed,10th Pass,1,0
IND1186,Female,OBC,Muslim,Rajasthan,168312,664,200000,Salaried,10th Pass,0,1
IND1187,Female,OBC,Hindu,Tamil Nadu,13836,773,750000,Self-Employed,10th Pass,2,1
IND1188,Male,OBC,Sikh,Gujarat,28245,566,1000000,Salaried,12th Pass,3,0
IND1189,Male,ST,Hindu,Uttar Pradesh,42722,674,750000,Daily Wage,10th Pass,1,0
IND1190,Male,General,Hindu,Bihar,30010,631,750000,Self-Employed,Post-Graduate,0,0
IND1191,Female,OBC,Hindu,West Bengal,34460,783,50000,Salaried,Graduate,1,1
IND1192,Female,OBC,Hindu,Gujarat,54381,792,200000,Self-Employed,Graduate,3,0
IND1193,Female,OBC,Hindu,Bihar,6807,665,100000,Self-Employed,12th Pass,2,0
IND1194,Male,General,Hindu,Bihar,14960,555,50000,Self-Employed,Graduate,2,1
IND1195,Male,SC,Muslim,Uttar Pradesh,37458,701,500000,Salaried,Post-Graduate,2,1
IND1196,Female,ST,Hindu,Rajasthan,27365,523,200000,Gig Worker,12th Pass,0,0
IND1197,Female,OBC,Hindu,Tamil Nadu,39758,803,1000000,Daily Wage,10th Pass,0,0
IND1198,Female,OBC,Hindu,Uttar Pradesh,42589,624,200000,Self-Employed,Graduate,2,0
IND1199,Female,ST,Hindu,Gujarat,8257,662,500000,Unemployed,Post-Graduate,3,0
IND1200,Female,SC,Hindu,Rajasthan,88569,607,500000,Salaried,Graduate,3,1
IND1201,Male,General,Hindu,Gujarat,25622,588,500000,Self-Employed,Graduate,0,1
IND1202,Male,OBC,Hindu,Rajasthan,19813,727,100000,Self-Employed,Graduate,2,1
IND1203,Female,OBC,Hindu,West Bengal,42017,651,750000,Self-Employed,12th Pass,3,1
IND1204,Female,OBC,Hindu,Gujarat,39144,668,200000,Self-Employed,12th Pass,3,0
IND1205,Male,SC,Hindu,Uttar Pradesh,83925,579,750000,Salaried,12th Pass,3,1
IND1206,Male,ST,Muslim,Rajasthan,43928,737,750000,Salaried,Graduate,0,0
IND1207,Female,ST,Muslim,Rajasthan,81689,746,1000000,Salaried,10th Pass,2,1
IND1208,Male,OBC,Hindu,Bihar,18831,647,500000,Salaried,Graduate,1,1
IND1209,Male,General,Muslim,Bihar,40106,772,100000,Gig Worker,Graduate,2,1
IND1210,Male,ST,Hindu,Maharashtra,16641,656,1000000,Salaried,10th Pass,2,1
IND1211,Female,SC,Hindu,Gujarat,38885,731,50000,Salaried,Graduate,0,1
IND1212,Female,General,Hindu,Bihar,33523,527,100000,Self-Employed,Post-Graduate,3,1
IND1213,Male,ST,Hindu,Maharashtra,32529,695,750000,Self-Employed,10th Pass,3,0
IND1214,Female,SC,Hindu,West Bengal,32729,641,100000,Daily Wage,Graduate,0,1
IND1215,Male,OBC,Christian,West Bengal,60807,678,500000,Self-Employed,12th Pass,0,0
IND1216,Male,OBC,Hindu,Bihar,11788,674,50000,Salaried,Post-Graduate,0,0
IND1217,Female,OBC,Hindu,Gujarat,19344,675,500000,Gig Worker,12th Pass,0,1
IND1218,Female,General,Hindu,Rajasthan,35298,717,50000,Self-Employed,Graduate,0,1
IND1219,Female,OBC,Christian,Tamil Nadu,15913,616,1000000,Salaried,Post-Graduate,1,0
IND1220,Female,SC,Hindu,Gujarat,37506,713,750000,Self-Employed,12th Pass,2,0
IND1221,Female,General,Hindu,Uttar Pradesh,35045,769,50000,Daily Wage,Graduate,2,0
IND1222,Male,OBC,Hindu,West Bengal,13593,545,50000,Salaried,Graduate,2,1
IND1223,Male,OBC,Hindu,Bihar,13131,598,50000,Salaried,Post-Graduate,3,0
IND1224,Male,OBC,Other,Bihar,5786,602,100000,Salaried,Post-Graduate,1,1
IND1225,Male,ST,Sikh,Rajasthan,15452,572,1000000,Salaried,Graduate,2,0
IND1226,Female,OBC,Hindu,Uttar Pradesh,36681,624,100000,Self-Employed,Post-Graduate,3,0
IND1227,Male,OBC,Sikh,Rajasthan,40511,752,750000,Self-Employed,10th Pass,1,1
IND1228,Female,SC,Hindu,Uttar Pradesh,41828,788,50000,Salaried,Post-Graduate,1,1
IND1229,Female,OBC,Muslim,Tamil Nadu,21066,674,1000000,Daily Wage,Graduate,3,1
IND1230,Female,General,Hindu,West Bengal,35853,637,1000000,Gig Worker,Post-Graduate,1,1
IND1231,Male,OBC,Hindu,Bihar,47957,733,200000,Self-Employed,Graduate,3,1
IND1232,Female,General,Hindu,Bihar,14948,464,750000,Gig Worker,10th Pass,2,1
IND1233,Male,General,Hindu,Tamil Nadu,39589,575,1000000,Salaried,Post-Graduate,3,1
IND1234,Male,OBC,Hindu,Maharashtra,57499,467,50000,Self-Employed,Primary,1,1
IND1235,Female,OBC,Hindu,West Bengal,25756,574,50000,Self-Employed,Graduate,2,0
IND1236,Male,ST,Hindu,Rajasthan,76386,599,1000000,Gig Worker,12th Pass,2,0
IND1237,Male,OBC,Hindu,Tamil Nadu,26181,790,100000,Gig Worker,12th Pass,0,1
IND1238,Female,OBC,Hindu,Rajasthan,19889,430,750000,Salaried,10th Pass,0,1
IND1239,Male,OBC,Hindu,Gujarat,53625,629,50000,Daily Wage,12th Pass,1,0
IND1240,Female,General,Sikh,Bihar,150739,717,1000000,Salaried,12th Pass,3,0
IND1241,Female,OBC,Hindu,Rajasthan,38551,699,50000,Daily Wage,Graduate,3,1
IND1242,Female,General,Hindu,Uttar Pradesh,56638,789,1000000,Unemployed,Post-Graduate,1,1
IND1243,Male,ST,Hindu,Rajasthan,25435,678,750000,Salaried,10th Pass,2,1
IND1244,Male,General,Muslim,Gujarat,15227,696,1000000,Gig Worker,Graduate,1,1
IND1245,Female,OBC,Hindu,West Bengal,40797,508,200000,Salaried,Graduate,1,1
IND1246,Male,General,Hindu,Bihar,45573,580,1000000,Self-Employed,12th Pass,2,0
IND1247,Female,ST,Muslim,Tamil Nadu,28267,513,1000000,Self-Employed,Graduate,3,0
IND1248,Female,OBC,Christian,Gujarat,56485,713,750000,Self-Employed,Primary,1,0
IND1249,Female,OBC,Hindu,Bihar,22974,694,1000000,Daily Wage,12th Pass,3,1
IND1250,Male,General,Hindu,Rajasthan,19313,691,750000,Self-Employed,12th Pass,1,1
IND1251,Male,SC,Hindu,West Bengal,76301,590,200000,Self-Employed,10th Pass,2,0
IND1252,Female,General,Muslim,Maharashtra,76553,582,750000,Gig Worker,Post-Graduate,2,1
IND1253,Male,SC,Hindu,West Bengal,23294,682,50000,Unemployed,Graduate,0,1
IND1254,Male,General,Hindu,Maharashtra,120957,608,750000,Salaried,Graduate,2,1
IND1255,Female,General,Christian,Uttar Pradesh,29703,578,200000,Unemployed,Graduate,0,1
IND1256,Female,General,Hindu,West Bengal,38535,621,500000,Salaried,12th Pass,1,1
IND1257,Female,OBC,Hindu,Bihar,34226,608,1000000,Gig Worker,10th Pass,3,0
IND1258,Female,OBC,Hindu,Maharashtra,52398,591,750000,Salaried,Graduate,2,0
IND1259,Male,General,Hindu,Tamil Nadu,43914,560,1000000,Salaried,Graduate,2,1
IND1260,Female,SC,Hindu,Bihar,43502,703,100000,Self-Employed,Primary,2,0
IND1261,Female,OBC,Hindu,Tamil Nadu,17788,797,50000,Self-Employed,Graduate,1,1
IND1262,Male,OBC,Hindu,West Bengal,11136,661,50000,Salaried,Graduate,0,1
IND1263,Male,OBC,Hindu,Tamil Nadu,80782,683,100000,Salaried,Graduate,1,1
IND1264,Female,OBC,Other,Maharashtra,24789,710,100000,Self-Employed,10th Pass,3,0
IND1265,Female,OBC,Hindu,Bihar,35090,696,750000,Daily Wage,12th Pass,1,1
IND1266,Female,General,Sikh,Rajasthan,45650,593,100000,Salaried,12th Pass,3,1
IND1267,Female,General,Hindu,Gujarat,113584,811,500000,Salaried,10th Pass,2,1
IND1268,Male,SC,Muslim,Maharashtra,40657,600,1000000,Self-Employed,Graduate,3,1
IND1269,Male,ST,Muslim,Maharashtra,27546,720,1000000,Salaried,Graduate,3,1
IND1270,Female,OBC,Hindu,Rajasthan,25172,710,200000,Gig Worker,10th Pass,0,1
IND1271,Female,General,Hindu,Bihar,35378,498,100000,Gig Worker,Graduate,3,1
IND1272,Female,OBC,Muslim,Bihar,19214,634,100000,Self-Employed,10th Pass,3,0
IND1273,Female,OBC,Hindu,West Bengal,37057,669,500000,Salaried,Primary,1,1
IND1274,Male,General,Hindu,Tamil Nadu,35016,676,50000,Gig Worker,12th Pass,2,1
IND1275,Male,General,Hindu,West Bengal,114584,690,50000,Self-Employed,12th Pass,1,1
IND1276,Female,SC,Muslim,Rajasthan,34251,729,1000000,Gig Worker,10th Pass,1,0
IND1277,Female,OBC,Muslim,West Bengal,9441,664,1000000,Self-Employed,10th Pass,2,0
IND1278,Female,General,Muslim,Rajasthan,235969,695,750000,Gig Worker,Graduate,2,1
IND1279,Female,General,Hindu,Bihar,70953,661,500000,Self-Employed,Post-Graduate,3,0
IND1280,Female,General,Muslim,Tamil Nadu,156005,578,200000,Self-Employed,Graduate,3,0
IND1281,Male,OBC,Hindu,West Bengal,16153,667,200000,Unemployed,12th Pass,0,0
IND1282,Male,General,Hindu,Maharashtra,31092,728,500000,Self-Employed,Graduate,1,1
IND1283,Male,General,Hindu,Uttar Pradesh,58225,759,200000,Self-Employed,12th Pass,2,1
IND1284,Female,SC,Hindu,Gujarat,52863,710,50000,Salaried,Graduate,3,1
IND1285,Male,General,Hindu,Maharashtra,45019,778,200000,Self-Employed,12th Pass,2,1
IND1286,Male,OBC,Hindu,Bihar,7787,700,200000,Self-Employed,Graduate,3,1
IND1287,Male,General,Hindu,Gujarat,10952,738,500000,Salaried,12th Pass,0,1
IND1288,Male,General,Hindu,Uttar Pradesh,105057,744,500000,Salaried,12th Pass,0,1
IND1289,Female,General,Hindu,Uttar Pradesh,118982,646,200000,Self-Employed,Graduate,2,1
IND1290,Male,SC,Hindu,Tamil Nadu,33703,726,100000,Gig Worker,Graduate,0,1
IND1291,Male,SC,Hindu,Gujarat,96114,585,500000,Self-Employed,12th Pass,2,1
IND1292,Female,SC,Hindu,Tamil Nadu,17742,694,750000,Salaried,Graduate,3,0
